customer_id,tenure_months,contract_type,monthly_charges,total_charges,num_support_tickets,has_tech_support,has_online_security,internet_service,payment_method,paperless_billing,senior_citizen,partner,dependents,num_additional_services,avg_monthly_usage_gb,churn
8779-QRDMV,1,Month-to-month,39.65,39.65,6,0,0,DSL,Electronic check,1,1,0,0,2,116.2,1
1680-VDCWW,12,One year,19.8,202.25,1,0,0,No,Bank transfer (automatic),0,0,1,0,0,34.1,0
1066-JKSGK,1,Month-to-month,20.15,20.15,2,0,0,No,Mailed check,0,0,0,0,0,38.2,1
3638-WEABW,58,Two year,59.9,3505.1,1,1,0,DSL,Credit card (automatic),1,0,1,0,2,122.4,0
6322-HRPFA,49,Month-to-month,59.6,2970.3,0,1,1,DSL,Credit card (automatic),0,0,1,1,3,127.1,0
6865-JZNKO,30,Month-to-month,55.3,1530.6,0,0,1,DSL,Bank transfer (automatic),1,0,0,0,2,84.4,0
6467-CHFZW,47,Month-to-month,99.35,4749.15,3,0,0,Fiber optic,Electronic check,1,0,1,1,3,245.8,1
8665-UTDHZ,1,Month-to-month,30.2,30.2,4,0,0,DSL,Electronic check,0,0,1,1,1,45.6,1
5248-YGIJN,72,Two year,90.25,6369.45,1,1,1,DSL,Credit card (automatic),1,0,1,0,6,286.7,0
8773-HHUOZ,17,Month-to-month,64.7,1093.1,2,0,0,DSL,Mailed check,1,0,0,1,2,171.7,1
3841-NFECX,71,Two year,96.35,6766.95,1,1,1,Fiber optic,Credit card (automatic),1,1,1,0,4,207.6,0
4929-XIHVW,2,Month-to-month,95.5,181.65,2,0,0,Fiber optic,Credit card (automatic),1,1,1,0,3,233.1,0
6827-IEAUQ,27,One year,66.15,1874.45,0,1,1,DSL,Mailed check,0,0,1,1,4,136.9,0
7310-EGVHZ,1,Month-to-month,20.2,20.2,4,0,0,No,Bank transfer (automatic),0,0,0,0,0,33.4,0
3413-BMNZE,1,Month-to-month,45.25,45.25,1,0,0,DSL,Bank transfer (automatic),0,1,0,0,0,78.7,0
6234-RAAPL,72,Two year,99.9,7251.7,0,1,1,Fiber optic,Bank transfer (automatic),0,0,1,1,4,223.6,0
6047-YHPVI,5,Month-to-month,69.7,316.9,6,0,0,Fiber optic,Electronic check,1,0,0,0,0,127.0,1
6572-ADKRS,46,Month-to-month,74.8,3548.3,5,0,0,Fiber optic,Credit card (automatic),1,0,0,0,1,131.6,0
5380-WJKOV,34,Month-to-month,106.35,3549.25,1,0,0,Fiber optic,Electronic check,1,0,0,0,4,297.8,1
8168-UQWWF,11,Month-to-month,97.85,1105.4,3,0,0,Fiber optic,Bank transfer (automatic),1,0,0,0,3,301.0,1
8865-TNMNX,10,One year,49.55,475.7,1,0,0,DSL,Mailed check,0,0,1,1,1,100.4,0
9489-DEDVP,70,Two year,69.2,4872.35,2,0,1,DSL,Credit card (automatic),1,0,1,1,3,152.8,0
9867-JCZSP,17,One year,20.75,418.25,2,0,0,No,Mailed check,0,0,1,1,0,27.2,0
4671-VJLCL,63,Two year,79.85,4861.45,0,1,1,DSL,Credit card (automatic),1,0,0,0,5,186.7,0
4080-IIARD,13,Month-to-month,76.2,981.45,0,1,1,DSL,Electronic check,1,0,1,0,4,103.2,0
3714-NTNFO,49,Month-to-month,84.5,3906.7,3,0,0,Fiber optic,Electronic check,1,0,0,0,1,211.0,0
5948-UJZLF,2,Month-to-month,49.25,97.0,5,0,0,DSL,Mailed check,0,0,0,0,1,96.7,0
7760-OYPDY,2,Month-to-month,80.65,144.15,7,0,0,Fiber optic,Electronic check,1,0,0,0,1,152.0,1
7639-LIAYI,52,Two year,79.75,4217.8,0,1,1,DSL,Credit card (automatic),1,0,0,0,4,242.6,0
2954-PIBKO,69,Two year,64.15,4254.1,0,1,1,DSL,Credit card (automatic),1,0,1,1,3,104.2,0
8012-SOUDQ,43,Month-to-month,90.25,3838.75,5,0,0,Fiber optic,Electronic check,1,1,0,0,2,240.0,0
9420-LOJKX,15,Month-to-month,99.1,1426.4,2,0,1,Fiber optic,Credit card (automatic),1,0,0,0,4,229.2,1
6575-SUVOI,25,Month-to-month,69.5,1752.65,0,1,1,DSL,Credit card (automatic),1,1,1,0,3,144.8,0
7495-OOKFY,8,Month-to-month,80.65,633.3,0,0,0,Fiber optic,Credit card (automatic),1,1,1,0,1,131.1,1
4667-QONEA,60,One year,74.85,4456.35,0,1,1,DSL,Credit card (automatic),1,1,1,1,5,180.8,0
1658-BYGOY,18,Month-to-month,95.45,1752.55,3,0,0,Fiber optic,Electronic check,1,1,0,0,2,213.3,1
8769-KKTPH,63,One year,99.65,6311.2,3,0,1,Fiber optic,Credit card (automatic),1,0,1,1,3,345.2,0
5067-XJQFU,66,One year,108.45,7076.35,3,1,0,Fiber optic,Electronic check,1,1,1,1,5,260.1,0
3957-SQXML,34,Two year,24.95,894.3,1,0,0,No,Credit card (automatic),0,0,1,1,0,56.4,0
5954-BDFSG,72,Two year,107.5,7853.7,3,1,0,Fiber optic,Credit card (automatic),1,0,0,0,4,261.9,0
0434-CSFON,47,Month-to-month,100.5,4707.1,3,0,0,Fiber optic,Electronic check,1,0,1,0,3,248.7,0
1215-FIGMP,60,Month-to-month,89.9,5450.7,2,0,0,Fiber optic,Bank transfer (automatic),1,0,0,0,2,180.7,0
0526-SXDJP,72,Two year,42.1,2962.0,0,0,1,DSL,Bank transfer (automatic),0,0,1,0,3,67.3,0
0557-ASKVU,18,One year,54.4,957.1,0,1,0,DSL,Credit card (automatic),1,0,1,1,2,104.2,0
5698-BQJOH,9,Month-to-month,94.4,857.25,1,0,0,Fiber optic,Electronic check,0,0,0,0,2,293.8,1
5122-CYFXA,3,Month-to-month,75.3,244.1,1,1,0,DSL,Electronic check,1,0,0,0,4,218.9,0
8627-ZYGSZ,47,One year,78.9,3650.35,0,0,0,Fiber optic,Electronic check,1,0,1,0,1,123.4,0
3410-YOQBQ,31,Two year,79.2,2497.2,1,1,0,DSL,Mailed check,0,0,0,0,5,229.4,0
3170-NMYVV,50,Two year,20.15,930.9,1,0,0,No,Bank transfer (automatic),0,0,1,1,0,32.0,0
7410-OIEDU,10,Month-to-month,79.85,887.35,2,0,1,Fiber optic,Mailed check,1,0,0,0,2,87.1,0
2273-QCKXA,1,Month-to-month,49.05,49.05,3,1,0,DSL,Mailed check,0,0,0,0,1,89.9,0
0731-EBJQB,52,One year,20.4,1090.65,1,0,0,No,Electronic check,1,0,1,1,0,27.3,0
1891-QRQSA,64,Two year,111.6,7099.0,3,1,1,Fiber optic,Bank transfer (automatic),1,1,1,1,5,254.7,0
8028-PNXHQ,62,Two year,24.25,1424.6,1,0,0,No,Bank transfer (automatic),1,0,1,1,0,44.0,0
5630-AHZIL,3,Month-to-month,64.5,177.4,0,1,1,DSL,Bank transfer (automatic),1,0,0,1,3,146.8,0
2673-CXQEU,56,One year,110.5,6139.5,2,0,1,Fiber optic,Electronic check,0,1,0,0,5,268.1,0
6416-JNVRK,46,One year,55.65,2688.85,2,0,0,DSL,Credit card (automatic),0,0,0,0,1,172.0,0
5590-ZSKRV,8,Month-to-month,54.65,482.25,2,0,1,DSL,Mailed check,0,0,1,1,2,112.2,0
0191-ZHSKZ,30,Month-to-month,74.75,2111.3,2,0,1,DSL,Electronic check,1,1,0,0,4,262.3,0
3887-PBQAO,45,One year,25.9,1216.6,0,0,0,No,Credit card (automatic),1,0,1,1,0,48.1,0
5919-TMRGD,1,Month-to-month,79.35,79.35,8,0,0,Fiber optic,Electronic check,1,0,0,1,1,188.9,1
8108-UXRQN,11,Month-to-month,50.55,565.35,0,0,1,DSL,Electronic check,0,0,1,1,3,215.3,0
9191-MYQKX,7,Month-to-month,75.15,496.9,4,0,0,Fiber optic,Bank transfer (automatic),1,0,1,0,1,122.8,1
9919-YLNNG,42,Month-to-month,103.8,4327.5,1,1,0,Fiber optic,Bank transfer (automatic),1,0,0,0,5,279.8,0
0318-ZOPWS,49,Two year,20.15,973.35,1,0,0,No,Bank transfer (automatic),1,0,1,0,0,37.0,0
4445-ZJNMU,9,Month-to-month,99.3,918.75,1,0,0,Fiber optic,Credit card (automatic),1,0,0,0,3,269.8,0
4808-YNLEU,35,One year,62.15,2215.45,2,0,1,DSL,Bank transfer (automatic),1,0,1,0,2,165.1,0
1862-QRWPE,48,Two year,20.65,1057.0,2,0,0,No,Bank transfer (automatic),0,0,1,1,0,37.8,0
2796-NNUFI,46,Two year,19.95,927.1,1,0,0,No,Mailed check,1,0,1,1,0,40.2,0
3016-KSVCP,29,Month-to-month,33.75,1009.25,1,0,0,DSL,Mailed check,0,0,1,0,1,88.2,0
4767-HZZHQ,30,Month-to-month,82.05,2570.2,3,0,0,Fiber optic,Bank transfer (automatic),0,0,1,1,2,158.4,0
2424-WVHPL,1,Month-to-month,74.7,74.7,2,1,0,Fiber optic,Electronic check,0,1,0,0,1,113.8,0
7233-PAHHL,66,Two year,84.0,5714.25,0,1,1,DSL,Mailed check,1,0,1,1,5,267.6,0
6067-NGCEU,65,Month-to-month,111.05,7107.0,0,0,1,Fiber optic,Credit card (automatic),1,0,0,0,5,320.0,0
9848-JQJTX,72,Two year,100.9,7459.05,3,0,0,Fiber optic,Bank transfer (automatic),1,0,0,0,4,253.5,0
8637-XJIVR,12,Month-to-month,78.95,927.35,1,0,1,Fiber optic,Electronic check,1,0,0,0,1,131.4,1
9803-FTJCG,71,One year,66.85,4748.7,0,1,1,DSL,Credit card (automatic),1,0,1,1,3,119.7,0
0278-YXOOG,5,Month-to-month,21.05,113.85,3,0,0,No,Mailed check,0,0,0,0,0,40.9,1
3212-KXOCR,52,Two year,21.0,1107.2,4,0,0,No,Bank transfer (automatic),0,0,0,0,0,29.4,0
4598-XLKNJ,25,Month-to-month,98.5,2514.5,0,0,0,Fiber optic,Electronic check,1,1,1,0,4,219.1,1
6380-ARCEH,1,Month-to-month,20.2,20.2,3,0,0,No,Mailed check,0,0,0,0,0,41.3,0
3679-XASPY,1,Month-to-month,19.45,19.45,3,0,0,No,Electronic check,0,0,1,1,0,33.9,0
7123-WQUHX,38,One year,95.0,3605.6,0,1,0,Fiber optic,Bank transfer (automatic),0,0,0,0,3,171.0,0
5386-THSLQ,66,One year,45.55,3027.25,7,0,0,DSL,Bank transfer (automatic),0,1,1,0,3,82.1,0
3192-NQECA,68,Two year,110.0,7611.85,1,1,0,Fiber optic,Bank transfer (automatic),1,0,1,0,5,259.5,1
6180-YBIQI,5,Month-to-month,24.3,100.2,5,0,0,DSL,Mailed check,0,0,0,0,0,32.4,0
6728-DKUCO,72,One year,104.15,7303.05,0,0,1,Fiber optic,Electronic check,1,0,1,1,4,271.8,0
9750-BOOHV,32,One year,30.15,927.65,2,0,1,DSL,Mailed check,0,0,0,0,1,53.5,0
8597-CWYHH,43,One year,94.35,3921.3,5,0,0,Fiber optic,Mailed check,0,0,0,0,2,316.3,0
2848-YXSMW,72,Two year,19.4,1363.25,1,0,0,No,Credit card (automatic),0,0,1,1,0,28.4,0
0486-HECZI,55,Month-to-month,96.75,5238.9,1,0,1,Fiber optic,Electronic check,1,0,1,0,3,233.4,1
4549-ZDQYY,52,One year,57.95,3042.25,0,1,1,DSL,Credit card (automatic),0,0,0,0,3,85.7,0
5712-AHQNN,43,Month-to-month,91.65,3954.1,3,0,0,Fiber optic,Electronic check,1,0,0,0,3,173.4,0
4846-WHAFZ,37,Month-to-month,76.5,2868.15,2,0,0,Fiber optic,Electronic check,1,1,1,0,0,133.1,1
5256-SKJGO,64,Two year,54.6,3423.5,1,1,0,DSL,Electronic check,1,0,1,1,4,155.6,0
3071-VBYPO,3,Month-to-month,89.85,248.4,3,0,1,Fiber optic,Electronic check,0,0,1,1,3,254.7,0
9560-BBZXK,36,Two year,31.05,1126.35,1,0,1,DSL,Bank transfer (automatic),0,0,0,0,1,55.2,0
5299-RULOA,10,Month-to-month,100.25,1064.65,1,0,1,Fiber optic,Electronic check,1,0,1,1,3,230.8,1
8402-OOOHJ,41,Two year,20.65,835.15,1,0,0,No,Mailed check,0,0,0,0,0,49.6,0
9445-ZUEQE,27,Month-to-month,85.2,2151.6,2,1,0,Fiber optic,Credit card (automatic),1,0,1,1,2,134.9,0
1091-SOZGA,56,One year,99.8,5515.45,5,0,0,Fiber optic,Credit card (automatic),1,0,1,1,3,244.3,0
2928-HLDBA,6,Month-to-month,20.7,112.75,0,0,0,No,Mailed check,0,0,0,0,0,35.9,0
0404-SWRVG,3,Month-to-month,74.4,229.55,1,0,0,Fiber optic,Electronic check,1,0,0,0,0,118.1,1
6497-TILVL,7,Month-to-month,50.7,350.35,0,0,1,DSL,Mailed check,0,0,1,1,1,98.9,0
7219-TLZHO,4,Month-to-month,20.85,62.9,3,0,0,No,Mailed check,0,0,1,1,0,43.9,0
4622-YNKIJ,33,Two year,88.95,3027.65,1,1,1,Fiber optic,Electronic check,1,0,0,0,3,161.4,0
4412-YLTKF,27,Month-to-month,78.05,2135.5,3,0,0,Fiber optic,Electronic check,1,1,0,0,1,129.8,1
6734-PSBAW,72,Two year,23.55,1723.95,4,0,0,No,Bank transfer (automatic),1,0,1,0,0,39.8,0
3930-ZGWVE,1,Month-to-month,19.75,19.75,1,0,0,No,Mailed check,0,0,0,0,0,28.1,0
2639-UGMAZ,71,One year,56.45,3985.35,2,0,1,DSL,Electronic check,1,1,0,0,4,145.6,0
2876-GZYZC,13,Month-to-month,85.95,1215.65,3,0,0,Fiber optic,Electronic check,1,0,0,0,1,183.0,0
6207-WIOLX,25,Month-to-month,58.6,1502.65,1,0,1,DSL,Credit card (automatic),1,0,1,1,5,159.9,1
8587-XYZSF,67,Two year,50.55,3260.1,0,1,0,DSL,Bank transfer (automatic),0,0,0,0,1,94.5,0
3091-FYHKI,1,Month-to-month,35.45,35.45,1,0,0,DSL,Electronic check,1,0,0,0,1,115.5,1
2372-HWUHI,2,Month-to-month,44.35,81.25,5,0,0,DSL,Electronic check,0,0,0,0,0,81.4,1
7799-LGRDP,43,Two year,25.7,1188.2,4,0,0,No,Credit card (automatic),1,0,0,0,0,47.9,0
7850-VWJUU,23,Month-to-month,75.0,1778.5,0,0,1,Fiber optic,Bank transfer (automatic),1,0,0,0,1,116.0,0
3774-VBNXY,64,Two year,20.2,1277.75,1,0,0,No,Mailed check,0,0,1,1,0,32.9,0
6217-KDYWC,57,Two year,19.6,1170.55,4,0,0,No,Mailed check,1,0,0,1,0,37.0,0
0390-DCFDQ,1,Month-to-month,70.45,70.45,3,0,0,Fiber optic,Mailed check,1,1,1,0,0,136.4,1
3146-MSEGF,72,Two year,88.05,6425.65,0,1,1,DSL,Credit card (automatic),1,1,1,1,6,233.7,0
4080-OGPJL,8,Month-to-month,71.15,563.65,0,1,1,DSL,Electronic check,0,0,0,0,3,180.1,1
1095-WGNGG,61,Two year,101.05,5971.25,5,0,0,Fiber optic,Bank transfer (automatic),1,0,1,0,3,250.4,0
2636-SJDOU,64,One year,84.3,5289.05,3,0,1,Fiber optic,Credit card (automatic),1,0,0,0,2,124.9,0
1131-QQZEB,71,Two year,23.95,1756.2,1,0,0,No,Bank transfer (automatic),0,1,1,0,0,44.7,0
5716-EZXZN,65,Two year,99.05,6416.7,1,1,1,Fiber optic,Credit card (automatic),1,0,1,1,4,203.2,0
6837-BJYDQ,3,One year,19.6,61.35,1,0,0,No,Mailed check,0,0,0,0,0,26.3,0
2135-RXIHG,1,Month-to-month,45.65,45.65,6,0,0,DSL,Electronic check,1,0,0,0,0,91.6,1
6440-DKQGE,30,One year,64.5,1929.95,3,0,0,DSL,Credit card (automatic),0,0,0,1,3,163.6,0
3466-BYAVD,15,Month-to-month,69.5,1071.4,1,1,0,DSL,Mailed check,1,0,1,1,4,181.2,0
3780-YVMFA,8,Month-to-month,68.55,564.35,1,1,0,DSL,Electronic check,1,0,1,1,3,187.9,0
3874-EQOEP,7,Month-to-month,95.0,655.5,2,0,0,Fiber optic,Mailed check,0,0,0,0,2,303.0,1
1679-JRFBR,70,One year,108.15,7930.55,1,0,1,Fiber optic,Credit card (automatic),1,0,1,1,5,291.6,0
9073-ZZIAY,62,Two year,86.1,5215.25,0,1,1,DSL,Electronic check,0,0,1,1,6,266.4,0
3077-RSNTJ,6,Month-to-month,19.7,113.5,4,0,0,No,Mailed check,0,0,1,1,0,31.8,0
6551-GNYDG,14,Month-to-month,80.9,1152.8,5,0,0,Fiber optic,Bank transfer (automatic),1,0,1,1,1,175.8,0
9167-APMXZ,22,Month-to-month,84.15,1821.95,3,0,0,Fiber optic,Bank transfer (automatic),1,0,0,0,1,225.5,0
2749-CTKAJ,22,One year,20.15,419.9,2,0,0,No,Mailed check,0,0,1,1,0,35.8,0
6371-NZYEG,16,Two year,64.25,1024.0,1,0,1,DSL,Mailed check,0,0,1,1,3,155.0,0
7554-NEWDD,10,Two year,25.7,251.6,4,0,0,No,Bank transfer (automatic),0,0,0,0,0,55.9,0
8992-VONJD,13,Month-to-month,56.0,764.55,2,0,1,DSL,Electronic check,1,0,0,1,2,116.9,0
0867-MKZVY,20,Month-to-month,82.4,1592.35,3,0,1,Fiber optic,Electronic check,0,0,1,0,1,152.1,1
4482-EWFMI,2,Month-to-month,69.7,135.2,2,0,0,Fiber optic,Electronic check,1,0,0,0,0,159.1,0
4648-YPBTM,53,Two year,73.9,3958.25,0,1,0,DSL,Bank transfer (automatic),1,0,0,0,4,134.5,0
2907-ILJBN,11,One year,20.6,233.9,3,0,0,No,Mailed check,0,0,1,1,0,36.5,0
6345-FZOQH,69,Two year,19.9,1363.45,4,0,0,No,Mailed check,0,0,1,0,0,32.7,0
3376-BMGFE,4,Month-to-month,70.9,273.0,4,0,0,Fiber optic,Bank transfer (automatic),1,0,0,0,0,153.9,1
5997-OPVFA,72,Two year,89.05,6254.45,0,1,1,DSL,Bank transfer (automatic),1,0,1,0,6,293.3,0
3445-HXXGF,58,Month-to-month,45.3,2651.2,2,0,0,DSL,Electronic check,1,1,1,0,3,112.2,1
1159-WFSGR,16,Month-to-month,20.4,321.4,4,0,0,No,Electronic check,0,0,1,1,0,37.2,0
7654-YWJUF,43,One year,84.25,3539.25,0,1,1,Fiber optic,Bank transfer (automatic),1,0,1,0,3,171.1,0
1875-QIVME,2,Month-to-month,104.4,242.8,2,1,0,Fiber optic,Electronic check,1,0,1,0,4,286.3,1
6727-IOTLZ,14,Two year,81.95,1181.75,0,1,0,DSL,Mailed check,0,0,1,0,5,234.7,0
0691-JVSYA,53,One year,94.85,5000.2,2,0,0,Fiber optic,Bank transfer (automatic),1,0,1,0,3,285.1,1
5918-VUKWP,32,One year,20.55,654.55,3,0,0,No,Bank transfer (automatic),0,0,0,0,0,47.1,0
1744-JHKYS,34,Month-to-month,24.7,780.2,2,0,0,No,Electronic check,0,0,1,0,0,45.0,0
2656-FMOKZ,15,Month-to-month,74.45,1145.7,2,0,0,Fiber optic,Mailed check,1,1,0,0,0,111.8,1
2070-FNEXE,7,Month-to-month,76.45,503.6,2,0,1,Fiber optic,Bank transfer (automatic),0,1,0,0,1,134.6,1
5947-SGKCL,15,Month-to-month,105.35,1559.25,2,0,0,Fiber optic,Bank transfer (automatic),1,0,1,1,4,266.5,0
3712-PKXZA,61,One year,20.55,1252.0,1,0,0,No,Credit card (automatic),1,0,1,0,0,34.8,0
6317-YPKDH,1,Month-to-month,29.95,29.95,1,0,0,DSL,Bank transfer (automatic),0,0,0,0,1,59.0,1
6582-OIVSP,1,Month-to-month,45.3,45.3,3,0,0,DSL,Mailed check,0,0,0,0,0,89.7,0
9367-WXLCH,8,Month-to-month,84.5,662.65,4,0,0,Fiber optic,Bank transfer (automatic),0,0,0,0,1,216.0,1
5524-KHNJP,33,One year,74.75,2453.3,3,0,1,DSL,Credit card (automatic),0,0,1,1,4,228.1,0
1918-ZBFQJ,13,Month-to-month,79.25,1111.65,2,0,0,Fiber optic,Electronic check,1,0,0,0,2,147.2,1
1024-GUALD,1,Month-to-month,24.8,24.8,2,0,0,DSL,Electronic check,1,0,1,0,0,37.8,1
4827-USJHP,20,Month-to-month,51.8,1023.85,1,0,0,DSL,Mailed check,1,0,0,0,1,88.1,0
8167-GJLRN,3,Month-to-month,30.4,82.15,1,1,0,DSL,Electronic check,0,0,0,0,1,47.6,0
0956-SYCWG,13,One year,19.65,244.8,1,0,0,No,Electronic check,0,0,0,0,0,36.8,0
8017-UVSZU,40,Month-to-month,56.6,2379.1,1,0,0,DSL,Credit card (automatic),0,0,1,0,1,99.6,0
7100-FQPRV,43,One year,71.9,3173.35,0,1,1,DSL,Credit card (automatic),1,0,1,1,3,167.5,0
2472-OVKUP,6,Month-to-month,91.0,531.0,0,0,0,Fiber optic,Electronic check,1,0,1,0,3,218.1,1
2984-RGEYA,69,Two year,19.75,1375.4,1,0,0,No,Bank transfer (automatic),0,0,1,1,0,33.9,0
9680-NIAUV,72,Two year,109.7,8129.3,2,0,1,Fiber optic,Credit card (automatic),0,0,1,1,5,318.4,0
2146-EGVDT,59,Two year,19.3,1192.7,2,0,0,No,Credit card (automatic),0,0,1,1,0,39.8,0
2604-IJPDU,20,Month-to-month,96.55,1901.65,1,1,1,Fiber optic,Electronic check,1,0,1,0,4,183.7,0
9178-JHUVJ,24,Two year,24.1,587.4,3,0,0,No,Bank transfer (automatic),1,0,1,1,0,51.3,0
6168-YBYNP,59,Month-to-month,111.35,6519.75,3,1,0,Fiber optic,Electronic check,1,0,0,0,5,265.3,0
7255-SSFBC,72,Two year,112.25,8041.65,2,1,0,Fiber optic,Bank transfer (automatic),1,0,1,1,5,251.2,0
3645-DEYGF,1,Month-to-month,20.75,20.75,1,0,0,No,Mailed check,0,0,0,1,0,35.5,0
9323-HGFWY,27,One year,101.9,2681.15,3,1,1,Fiber optic,Credit card (automatic),1,0,1,0,4,214.1,0
8544-GOQSH,14,Month-to-month,80.05,1112.3,4,1,0,Fiber optic,Credit card (automatic),1,0,0,0,2,150.3,0
3363-DTIVD,71,Two year,105.55,7405.5,1,0,1,Fiber optic,Electronic check,0,0,1,1,4,315.1,0
7018-WBJNK,13,Month-to-month,78.3,1033.95,0,0,0,Fiber optic,Credit card (automatic),1,0,0,1,1,140.7,0
9142-KZXOP,44,Month-to-month,68.85,2958.95,5,0,0,Fiber optic,Credit card (automatic),0,0,0,0,0,130.8,0
7674-YTAFD,33,One year,79.95,2684.85,0,1,0,Fiber optic,Bank transfer (automatic),1,0,0,0,2,155.1,0
6348-SNFUS,72,Two year,55.45,4179.2,0,1,1,DSL,Credit card (automatic),1,0,1,1,5,152.2,0
1285-OKIPP,1,Month-to-month,79.9,79.9,2,0,0,Fiber optic,Electronic check,0,0,0,0,1,199.7,1
7825-ECJRF,19,Month-to-month,106.6,1934.45,1,1,1,Fiber optic,Electronic check,1,0,0,0,5,287.3,1
1347-KTTTA,64,One year,102.45,6654.1,3,1,0,Fiber optic,Credit card (automatic),1,0,1,0,5,245.4,0
7841-TZDMQ,2,Month-to-month,46.0,84.5,0,0,0,DSL,Credit card (automatic),1,0,0,0,0,92.9,1
4195-NZGTA,1,Month-to-month,25.25,25.25,2,0,0,DSL,Electronic check,0,0,0,0,0,47.4,0
7157-SMCFK,61,Two year,19.75,1124.2,2,0,0,No,Mailed check,0,0,0,1,0,39.4,0
4709-LKHYG,29,One year,20.0,540.05,2,0,0,No,Electronic check,0,0,1,1,0,37.4,0
2504-DSHIH,23,Month-to-month,86.8,1975.85,2,0,0,Fiber optic,Electronic check,0,1,1,0,1,187.9,0
0699-NDKJM,57,Month-to-month,58.75,3437.45,0,0,1,DSL,Bank transfer (automatic),1,0,1,0,5,183.5,0
9286-BHDQG,72,Two year,45.25,3139.8,0,1,1,DSL,Credit card (automatic),0,0,1,1,4,88.1,0
0230-WEQUW,66,Two year,56.6,3789.2,0,1,1,DSL,Bank transfer (automatic),1,0,1,0,5,162.2,0
2040-LDIWQ,65,Two year,84.2,5324.5,2,1,0,DSL,Bank transfer (automatic),1,0,1,1,5,167.1,0
6496-JDSSB,8,Month-to-month,80.0,624.6,3,0,0,Fiber optic,Bank transfer (automatic),1,0,0,0,1,149.4,0
9408-SSNVZ,4,Month-to-month,70.15,268.35,6,0,0,Fiber optic,Electronic check,1,0,0,0,0,96.1,1
4443-EMBNA,71,Two year,24.75,1836.9,3,0,0,No,Bank transfer (automatic),0,0,1,0,0,40.9,0
6469-MRVET,1,One year,20.2,20.2,0,0,0,No,Electronic check,1,0,1,1,0,32.7,0
0742-MOABM,4,Month-to-month,50.05,179.35,2,1,0,DSL,Mailed check,0,0,1,0,1,92.1,1
5961-VUSRV,12,One year,19.35,219.35,2,0,0,No,Bank transfer (automatic),1,0,0,0,0,33.1,0
6778-JFCMK,24,One year,50.6,1288.75,2,0,1,DSL,Mailed check,1,0,0,0,3,202.6,0
6341-JVQGF,31,One year,81.15,2545.75,0,1,1,DSL,Mailed check,1,0,1,1,5,204.9,0
2232-DMLXU,1,Month-to-month,55.2,55.2,1,0,0,DSL,Mailed check,0,0,1,0,1,124.4,1
4811-JBUVU,30,Month-to-month,89.9,2723.15,1,1,0,Fiber optic,Credit card (automatic),1,0,0,0,2,176.9,0
0945-TSONX,47,Two year,85.3,4107.25,0,1,1,DSL,Credit card (automatic),1,0,1,1,5,222.2,0
